,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error
0,6f2f3b3b2f2f2f2b2b3b2b3b2f1f1w@,f1,f1,f1f1,0,0
1,4r2f+2b3*,f+2,b3,f+2b3,1,0
2,6f2r2f2b2b1w@,b2,b1,b2b1,0,0
3,6b2b2b2b2b2f2b;2b2s3f1f2d@,f1,f2,f1f2,0,0
4,6f2f2b2b3*,b2,b3,b2b3,1,0
5,4b2f1f3n#,f1,f3,f1f3,0,1
6,6b2f2f2b2f2f1d@,f2,f1,f2f1,0,0
7,4b2f3s2f+2b2v1f1*,v1,f1,v1f1,1,0
8,6s2f+3s2o1*,s2,o1,s2o1,1,0
9,5b2b2b3s2f2b1w@,f2,b1,f2b1,0,0
10,4s2f3b3b2b1r2y1f-2s2n@,f-2,s2,f-2s2,0,0
11,5f2f3s3f3s2f1f2f2b2b3s1f2f1f1f3*,f1,f3,f1f3,1,0
12,6s2f1f2f1r2n#,f1,r2,f1r2,0,1
13,5f2f2f2b3b3s3b1d@,s3,b1,s3b1,0,0
14,6f2f2b+;3*,f2,b+;3,f2b+;3,1,0
15,6f2b2f1f2n#,f1,f2,f1f2,0,1
16,6f2f3b3b2s1w@,b2,s1,b2s1,0,0
17,6f2f2b2s2f+;3b3n@,f+;3,b3,f+;3b3,0,0
18,6b2b3b2y3b-1v3w@,b-1,v3,b-1v3,0,0
19,6f2f1f2f2r2r2b1n@,r2,b1,r2b1,0,0
20,5f2b3b2f2f2f2f+1f1w@,f+1,f1,f+1f1,0,0
21,5b2f3b2f1f3b2f3*,b2,f3,b2f3,1,0
22,5b2b2b2f3b2u^3z-3z2n@,z-3,z2,z-3z2,0,0
23,6b2b2f+3b2n#,f+3,b2,f+3b2,0,1
24,4b2b3b2f1r2n#,f1,r2,f1r2,0,1
25,6b1f1f1w#,f1,f1,f1f1,0,1
26,4b2b+2f3z3*,f3,z3,f3z3,1,0
27,6f2b2b3b2b2b2b2f2f2f2f2b2f2b2b2b1f2f1r2b3w@,r2,b3,r2b3,0,0
28,6b2u3b-1*,u3,b-1,u3b-1,1,0
29,6f2f2b3w@,f2,b3,f2b3,0,0
30,6s2f;1f1f2f1r2f3*,r2,f3,r2f3,1,0
31,6f2f1f1r2y2n@,r2,y2,r2y2,0,0
32,4f2f2b2y2u^2n@,y2,u^2,y2u^2,0,0
33,5b3b2b2f2f2n@,f2,f2,f2f2,0,0
34,6s2f1f1v2n@,f1,v2,f1v2,0,0
35,5s2f+1f3z2*,f3,z2,f3z2,1,0
36,4f2f2f3w@,f2,f3,f2f3,0,0
37,4b2f3s2d#,f3,s2,f3s2,0,1
38,6b2b2b2f1f2f1f2f1*,f2,f1,f2f1,1,0
39,6f2b3b1*,b3,b1,b3b1,1,0
40,5b2b3b3b2r2f+3*,r2,f+3,r2f+3,1,0
41,4b2s1r2n#,s1,r2,s1r2,0,1
42,6b2b3b2f2f2f2f2f2b1f3w@,b1,f3,b1f3,0,0
43,6f2f1f2d#,f1,f2,f1f2,0,1
44,6r3f2r2n#,f2,r2,f2r2,0,1
45,6b2f3b2d@,f3,b2,f3b2,0,0
46,6b2y1f-;3w@,y1,f-;3,y1f-;3,0,0
47,6b2b2f3w@,b2,f3,b2f3,0,0
48,6f2b3b2f1w#,b2,f1,b2f1,0,1
49,6f2f3b2n#,f3,b2,f3b2,0,1
50,4b2f1r2f1f3n@,f1,f3,f1f3,0,0
51,4b3b2r2d#,b2,r2,b2r2,0,1
52,6s2f2b2f2f1*,f2,f1,f2f1,1,0
53,6s2f2f2f+3b2n#,f+3,b2,f+3b2,0,1
54,4f2f2r2f+3d@,r2,f+3,r2f+3,0,0
55,4b2f1r2f1f1f2f2b1r2f+3b2v1f;3w@,v1,f;3,v1f;3,0,0
56,5b3b2b3b2f3b2f2b+1w@,f2,b+1,f2b+1,0,0
57,6b29f19f19w#,f1,f1,f1f1,0,1
58,4b29f29f29f39b39w@,f3,b3,f3b3,0,0
59,6f27f+18b1n#,f+1,b1,f+1b1,0,1
60,6b37s19f28f18s19f17s29f39w@,s2,f3,s2f3,0,0
61,6b29f29f19s#,f2,f1,f2f1,0,1
62,6s18f18f3n#,f1,f3,f1f3,0,1
63,4s38f+17f2z37s1n#,z3,s1,z3s1,0,1
64,5f28f+18s3z3n@,s3,z3,s3z3,0,0
65,4f38b+28s2v19*,s2,v1,s2v1,1,0
66,6s29f;39f38f2d@,f3,f2,f3f2,0,0
67,4s2j18f39*,j1,f3,j1f3,1,0
68,5b28f28b18f2d@,b1,f2,b1f2,0,0
69,4b38f28f+18s1v3n@,s1,v3,s1v3,0,0
70,4r28f+18f2v37*,f2,v3,f2v3,1,0
71,4b19b38b29b18f18y37s-19b2n#,s-1,b2,s-1b2,0,1
72,5s28f19b28f18b39s37f+39b18w#,f+3,b1,f+3b1,0,1
73,4b29f38b18b28f1n@,b2,f1,b2f1,0,0
74,6b27f38b29s3d@,b2,s3,b2s3,0,0
75,4b29f27f19b29u3n@,b2,u3,b2u3,0,0
76,c4b29f28f+38b2z17*,b2,z1,b2z1,1,0
77,5f29f29b39b29f19w@,b2,f1,b2f1,0,0
78,4+f2z39m19w#,z3,m1,z3m1,0,1
79,4+s2z37f1x#,z3,f1,z3f1,0,1
80,6s37f-18b2z37f3z17*,f3,z1,f3z1,1,0
81,6f27s18f1x@,s1,f1,s1f1,0,0
